<FITC-A>: pMEK (S221)	<Alexa Fluor 700-A>: CD8	<PE-Gr-A>: ppERK	<Pacific Blue-A>: CTV-OT1
861.437073	395.281464	20.1946011	6935.51904
582.868774	503.743835	79.4748383	3670.84448
27343.2812	4619.1499	3104.60474	8530.86816
11144.9404	2839.97119	633.815552	1796.9635
19404.7031	1099.46497	2779.23853	1675.39722
180.28299	324.797852	15.1853495	1276.50244
8932.85156	2000.65833	1975.10498	6546.13281
13825.5391	4009.86377	3381.99243	12371.9541
873.167786	579.232849	73.6679459	17775.2949
11768.7578	1906.42358	358.876373	745.644592
10089.2051	1841.31116	913.546387	7865.25635
7706.62549	970.639404	1689.67603	1891.22852
713.96521	593.670959	-10.1068373	2678.79419
16106.5303	746.295593	2872.01733	8521.01367
1329.35352	1134.26599	10.2959337	6058.56836
14831.1797	2247.19824	1626.72241	1367.15588
8073.3374	1417.83704	1346.96191	4314.39648
19452.082	1116.38208	3370.28052	4450.04443
5131.76514	719.168579	711.0979	380.516052
7443.07324	1126.95276	2252.71167	1123.07825
3892.04541	835.609009	98.8143921	6685.07617
18895.0059	1328.6272	2001.40649	3371.96265
1633.84277	413.263275	-2.62657666	4797.95801
150.928345	1176.05432	5.54310274	7205.18457
10645.165	1418.3324	380.197449	3640.93994
1961.23877	1243.0061	115.250229	10940.3115
1476.05493	1205.98511	32.037262	2254.5769
22963.0371	1947.51233	2188.95801	8676.78516
4926.25586	2162.91772	1721.96838	7980.05371
6886.32764	494.841797	402.922943	5782.66699
1013.5036	216.717896	14.5495501	1063.7832
15498.2998	2440.41211	1921.83289	11695.7002
1808.0658	1678.21045	479.79776	4308.64209
11738.7295	715.098145	1694.7782	8876.82227
7277.354	1349.04688	1350.47229	5425.11328
-110.510216	354.324707	100.639038	1485.60657
8649.93848	3199.68628	3036.17871	8423.26367
1105.57153	2192.66992	75.5733032	1082.99585
5006.20264	2926.71997	229.866592	10159.6904
573.610779	400.508026	70.3061142	456.759308
2949.70776	1304.55103	45.3594093	10097.9971
1138.88171	1095.97595	43.4371567	1659.59094
5297.9082	645.356323	285.328247	2960.93799
676.759888	509.706177	15.1776514	1589.8822
15812.291	1316.45386	2741.85645	8674.00488
245.530121	724.371216	23.2612305	5544.70508
9179.75488	603.334106	581.726562	2269.1897
2550.44019	733.770996	86.0224609	10086.8906
6228.05713	899.186279	365.363464	3555.22021
7283.85938	1382.92993	2073.9834	3480.99683
1.6125411e5	778.480652	53.8936195	4488.92725
1017.62805	1415.34937	49.1670265	402.05188
15391.54	1540.29089	252.002274	4024.02979
6816.01465	399.116943	301.775604	3185.32837
4191.46973	1612.03064	122.962708	1369.49805
1359.12988	613.180359	115.805435	1245.32922
13775.584	878.340698	3125.80737	1100.53589
9280.39844	3078.74438	242.458359	3785.52783
12355.3154	1591.88452	2870.74072	2014.42639
-110.436165	243.877518	44.774807	434.015594
1650.59912	172.964996	-23.1993771	2149.64502
697.693298	2439.00879	45.7977371	9815.94531
11160.8564	1029.28784	1975.82141	2427.11353
2432.61572	615.551331	41.2294807	6173.73877
23142.9766	1507.63293	2995.76123	6506.36621
923.589417	93.679863	-28.6440639	4241.45215
945.751648	204.73114	2.12228823	9120.24414
4549.53125	1419.33618	238.907532	3692.47168
5766.9082	685.338623	371.517365	7632.04102
1982.50745	614.827087	14.5592203	6765.85986
7312.28027	1482.64844	437.983032	6659.65576
8734.17578	549.696777	1050.45056	5308.03906
1424.51929	1526.57141	144.781082	7512.78369
14793.5137	1126.76636	2948.12646	2594.70044
378.835571	845.510559	9.15496922	5300.81934
13096.1992	860.161682	260.631561	8854.85645
-110.536316	1321.92651	88.9383926	2219.5564
10999.7129	1030.55139	215.897659	4024.29224
10242.7041	1313.20813	244.950378	4476.7749
7772.5293	2470.82812	155.666901	5897.78516
4282.62207	1480.38428	1964.42334	1499.20032
14289.9395	243.928421	216.206436	559.486633
-110.575836	324.765228	-25.3429489	1718.9314
9434.08203	2015.5553	1022.26251	6034.15234
10719.2402	1955.28564	2274.59619	4984.91699
2567.21631	621.826172	86.1396637	5277.96924
2621.13794	1116.36658	52.1303711	5038.10352
1480.83142	882.315369	44.8730431	4609.5083
52.8813324	256.610962	-41.8581657	6629.7915
1905.48547	1590.60901	6.67624998	8977.20508
4278.2959	693.512573	721.190552	2653.479
1110.68176	1517.76782	-24.9345894	5806.57617
17914.8867	662.639771	3691.03857	4108.91504
2540.81128	2020.97827	18.7059593	4942.56787
